"Country.Name","Country.Code","Years.of.Compulsory.Education","Health.Expenditure.per.capita","Diabetes.Prevalence","GDP.per.capita.PPP","Tertiary.Education.Expenditure.per.student","Human.Capital.Index","Life.Expectancy.at.birth","Population"
"Montenegro","MNE",9,1333.92989986,10.08,19354.9298194866,NA,0.615,77.271,622373
"Morocco","MAR",9,465.69960182,7.14,8261.06085184946,NA,0.5,76.059,35581294
"Mozambique","MOZ",NA,61.64512077,3.3,1294.74827318321,NA,0.361,58.872,28649007
"Myanmar","MMR",5,291.08854671,4.61,6172.39264948407,16.7494506835938,0.473,66.744,53382581
"Namibia","NAM",7,969.25813468,3.94,11104.4193762719,NA,0.435,64.85,2402603
"Nauru","NRU",14,1246.3021803,24.07,15039.3175663984,NA,NA,NA,12876
"Nepal","NPL",NA,155.96958828,7.26,2866.54201625742,NA,0.49,70.604,27627124
"Netherlands","NLD",13,5251.24157815,5.29,54422.0080155625,NA,0.8,81.5609756097561,17131296
"New Caledonia","NCL",NA,NA,23.36,NA,NA,NA,77.1487804878049,280350
"New Zealand","NZL",10,3664.7215455,8.08,40438.5709468742,26.5896492004395,0.767,81.6585365853659,4793900
"Nicaragua","NIC",7,484.53229024,11.47,5687.18163082839,NA,0.531,75.653,6384855
"Niger","NER",NA,61.43025084,2.42,1012.85919631307,258.647552490234,0.316,60.422,21602472
"Nigeria","NGA",9,213.7372371,2.42,5887.5730776004,NA,0.342,53.875,190873311
"North America","NAC",11,9351.85266825495,10.4334636396955,58594.4723186282,36.6474418640137,NA,78.9366516083449,361751263
"North Macedonia","MKD",13,934.57501099,10.08,15298.8835024093,NA,0.534,75.851,2081996
"Norway","NOR",10,6203.454703,5.31,62182.8421398992,NA,0.771,82.509756097561,5276968
"OECD members","OED",10,5040.76467950179,8.19335200417364,44183.3444427617,NA,NA,80.2970958065599,1296225760
"Oman","OMN",NA,2826.84695564,12.61,41068.3368142761,42.4603881835938,0.622,77.258,4665935
"Other small states","OSS",9,1161.22488906798,8.40418584563316,26399.3455766402,NA,NA,68.1758266070235,30148800
"Pacific island small states","PSS",NA,278.34272324963,15.1447030676817,6115.00400275455,NA,NA,71.0960179076079,2422086
"Pakistan","PAK",12,144.12382406,8.35,5249.2063652526,27.962459564209,0.389,66.629,207896686
"Palau","PLW",12,1891.91732342,15.89,18124.6534724604,NA,NA,NA,17808
"Panama","PAN",11,1750.29885068,8.33,24472.0098497445,NA,0.532,78.195,4106771
"Papua New Guinea","PNG",NA,92.26734054,17.65,4269.43124398009,NA,0.384,65.705,8438029
"Paraguay","PRY",13,767.76711559,8.27,12971.6838450747,NA,0.533,73.211,6867062
"Peru","PER",14,680.9994927,5.95,13772.2901725032,10.6040496826172,0.586,75.22,31444297
"Philippines","PHL",11,342.28682198,7.07,8340.33133072608,NA,0.548,69.238,105173264
"Poland","POL",10,1784.39698369,5.91,29930.9917768016,NA,0.747,77.8512195121951,37974826
"Portugal","PRT",12,2778.4155866,9.85,32554.2975164832,NA,0.776,81.1243902439025,10300300
"Post-demographic dividend","PST",10,5691.53895817191,7.50420117343491,47037.1977325004,NA,NA,80.6329632980452,1106035186
"Pre-demographic dividend","PRE",8.5,145.950587117788,4.87024953038207,3899.88406659635,NA,NA,60.335530856324,894512725
"Puerto Rico","PRI",13,NA,12.9,39006.3905970833,NA,NA,79.9736341463415,3325001
"Qatar","QAT",9,3926.12103707,16.52,124609.304140088,NA,0.615,78.331,2724724
"Romania","ROU",10,1152.17544922,9.74,26595.4264276466,NA,0.601,75.309756097561,19587491
"Russian Federation","RUS",11,1329.29241995,6.18,25766.9288144165,NA,0.729,72.1190243902439,144496740
"Rwanda","RWA",6,130.38062899,4.28,2082.2936354878,NA,0.374,67.496,11980937
"Samoa","WSM",8,352.79972298,9.21,6677.68551022861,NA,NA,75.24,195352
"San Marino","SMR",10,3831.9980604,5.64,63037.1257780432,NA,NA,NA,33671
"Sao Tome and Principe","STP",6,196.89687921,2.42,3312.72796857403,NA,NA,66.762,207089
"Saudi Arabia","SAU",9,3117.23352667,17.72,53693.3642364901,NA,0.585,74.72,33099147
"Senegal","SEN",11,141.69486147,2.42,3556.13775834737,190.648895263672,0.418,67.477,15419381
"Serbia","SRB",8,1322.56354805,10.08,16433.3824593609,31.3713893890381,0.755,76.0878048780488,7020858
"Seychelles","SYC",10,1122.56375395,10.55,29062.2628539554,70.7067413330078,0.678,74.3,95843
"Sierra Leone","SLE",9,244.04345109,2.42,1544.42928960789,NA,0.351,52.214,7488431
"Singapore","SGP",6,4083.75168085,10.99,96552.6026075455,NA,0.884,82.8951219512195,5612253
"Sint Maarten (Dutch part)","SXM",14,NA,NA,34568.3846266961,NA,NA,NA,40574
"Slovak Republic","SVK",10,2172.16038986,7.29,32371.2229547652,NA,0.694,77.1658536585366,5439232
"Slovenia","SVN",9,2772.22977561,7.25,36153.3831240136,NA,0.788,81.1756097560976,2066388
"Small states","SST",9,1068.34327309173,9.45070629542074,23213.6257042034,NA,NA,69.2801917311756,39885876
"Solomon Islands","SLB",NA,117.75787475,18.68,2339.38066750728,NA,0.443,71.006,636038
"Somalia","SOM",NA,NA,6.05,NA,NA,NA,56.714,14589119
"South Africa","ZAF",9,1071.34710362,5.52,13458.9637418502,46.7691497802734,0.406,63.404,57000451
"South Asia","SAS",9,217.330780685657,9.93553284683573,6563.34978960887,29.9167804718018,NA,68.922161941831,1792835608
"South Asia (IDA & IBRD)","TSA",9,217.330780685657,9.93553284683573,6563.34978960887,29.9167804718018,NA,68.922161941831,1792835608
"South Sudan","SSD",8,NA,10.43,1811.67739230708,NA,0.302,57.288,10910759
"Spain","ESP",10,3259.8027752,7.17,39037.3783388467,NA,0.743,83.3292682926829,46593236
"Sri Lanka","LKA",11,491.49336482,10.68,12878.5886712171,26.442289352417,0.584,75.485,21444000
"St. Kitts and Nevis","KNA",12,1479.57085378,12.84,30452.1013201016,NA,NA,NA,52045
"St. Lucia","LCA",10,677.40156252,11.62,13569.3057084931,NA,NA,75.696,180955
"St. Vincent and the Grenadines","VCT",12,409.14005816,11.62,11776.6715734858,NA,NA,73.294,109827
"Sub-Saharan Africa","SSF",8,197.998314520383,4.8571041558975,3880.32210618265,NA,NA,60.8027617908112,1050153672
"Sub-Saharan Africa (excluding high income)","SSA",8,197.910552462687,4.85639938177868,3878.02371043996,NA,NA,60.8015298436118,1050057829
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",8,197.998314520383,4.8571041558975,3880.32210618265,NA,NA,60.8027617908112,1050153672
"Sudan","SDN",8,297.85590815,15.67,4880.26151674132,NA,0.379,64.698,40813396
"Suriname","SUR",6,907.60439067,12.54,15002.4198616731,NA,NA,71.523,570496
"Sweden","SWE",9,5386.73402342,4.79,51404.7853914838,NA,0.8,82.3073170731707,10057698
"Switzerland","CHE",11,7867.39450543,5.59,66299.6250110989,42.5150184631348,0.767,83.6024390243903,8451840
"Syrian Arab Republic","SYR",9,NA,8.23,NA,NA,NA,70.963,17068002
"Tajikistan","TJK",9,208.5064842,7.11,3216.58070235526,NA,0.533,71.214,8880268
"Tanzania","TZA",7,111.97884273,5.75,3090.49437114677,NA,0.4,66.31,54663906
